Season,Name of Episode,ID of the Episode,Date Aired,Average Rating,Number of Ratings,Description
Season 6,The Dominators: Episode 1,S06E01,10 Aug. 1968,6.3,309,"The TARDIS arrives on the planet Dulkis where the Doctor, Zoe and Jamie decide to have a quiet holiday. Only to find the Evil Dominators and their robotic slaves, The Quarks have arrived on a radioactive island, where they plan to detonate a bomb in the planet's core, which will turn the entire planet as source of radioactive fuel for their invasion fleet."
Season 6,The Dominators: Episode 2,S06E02,17 Aug. 1968,6.2,271,"The Doctor and Jamie are captured by the Dominators, who subject them to an intelligence test, while Zoe and Cully attempt to convince the Dulcian council of the threat."
Season 6,The Dominators: Episode 3,S06E03,24 Aug. 1968,6.0,274,Zoe and Cully are captured by the Dominators and put to work alongside the survey team while the Doctor and Jamie decide to return to the island to help.
Season 6,The Dominators: Episode 4,S06E04,31 Aug. 1968,6.0,271,"The Doctor and Zoe are interrogated by Rago, who is planning to present his terms to the Dulcian council, while Jamie and Cully try to find a way to strike back against the Quarks."
Season 6,The Dominators: Episode 5,S06E05,7 Sep. 1968,6.1,273,Jamie and Cully manage to rescue the Doctor's party and together they try to find a way to stop the Dominators before they destroy the entire planet.
Season 6,The Mind Robber: Episode 1,S06E06,14 Sep. 1968,8.1,473,The TARDIS arrives in a white void after making an emergency escape from the volcanic eruption on Dulkis.
Season 6,The Mind Robber: Episode 2,S06E07,21 Sep. 1968,8.0,411,"With the TARDIS destroyed, the Doctor, Jamie and Zoe find themselves in a strange forest patrolled by mysterious soldiers."
Season 6,The Mind Robber: Episode 3,S06E08,28 Sep. 1968,7.9,398,The Doctor realises that the travelers are trapped in a world where fiction is real and where creatures are a threat if people believe in them.
Season 6,The Mind Robber: Episode 4,S06E09,5 Oct. 1968,7.8,394,"The Doctor, Jamie and Zoe reach the citadel at the centre of the land, where they finally encounter the Master of the Land of Fiction."
Season 6,The Mind Robber: Episode 5,S06E10,12 Oct. 1968,8.0,414,"With Jamie and Zoe having been turned into fiction, the Doctor must find a way to save them without suffering the same fate or becoming part of the Master Brain."
Season 6,The Invasion: Episode One,S06E11,2 Nov. 1968,8.0,363,The Doctor and the newly formed UNIT must stop a Cybermen Invasion and a Sinister Industrialist in league with them
Season 6,The Invasion: Episode Two,S06E12,9 Nov. 1968,8.1,335,The Doctor and Jamie are taken prisoner by their mysterious observers and have a reunion with an old friend while Zoe and Isobel carry out their own investigation of IE.
Season 6,The Invasion: Episode Three,S06E13,16 Nov. 1968,8.0,329,"The Doctor and Jamie return to the IE factory in search of Zoe and Isobel, where they meet with Professor Watkins and fall foul of Vaughn."
Season 6,The Invasion: Episode Four,S06E14,23 Nov. 1968,8.1,322,The Doctor and Jamie enlist the help of UNIT to rescue Zoe and Isobel before trying to find out what Vaughn is really up to.
Season 6,The Invasion: Episode Five,S06E15,30 Nov. 1968,8.1,328,The Doctor and Jamie tell the Brigadier about the Cybermen but with Rutledge under Vaughn's control he is powerless to act.
Season 6,The Invasion: Episode Six,S06E16,7 Dec. 1968,8.2,327,"Captain Turner manages to rescue Jamie and the others, while the Doctor begins working on a way to protect everyone from the Cybermen's hypno-sound signal."
Season 6,The Invasion: Episode Seven,S06E17,14 Dec. 1968,8.2,325,"With the entire world unconscious apart from the Doctor and his friends, the Cybermen are poised to invade and only Zoe, the Brigadier and a missile crew can stop them."
Season 6,The Invasion: Episode Eight,S06E18,21 Dec. 1968,8.4,336,"The Cybermen are here to take over the world, and for the first time, UNIT are here to deal with the threats of a global invasion of a very alien and robotic kind. With locations shots of a nineteen sixties London to enhance realism and a new and fresh, contemporary look for the Cybermen, these episodes were considered a landmark and turning point in the Doctor Who franchise that has a sinister industrialist working in league with the dreaded Cybermen. It is now up to the Doctor and the United Nations Intelligence Taskforce to thwart their plans in eight new exciting ..."
Season 6,The Krotons: Episode One,S06E19,28 Dec. 1968,6.6,296,"The TARDIS lands on a nameless desolate planet where The Doctor, Jamie and Zoe learn the native Gonds are ruled by the mysterious and unseen Krotons, where The Krotons chooses their top students to join The Krotons in their machine as their companions. But The Doctor, Jamie and Zoe discover The Krotons are crystalline alien beings and are turning The Gonds mental power into energy and are feeding off it."
Season 6,The Krotons: Episode Two,S06E20,4 Jan. 1969,6.6,269,Zoe is selected as a companion for the Krotons and the Doctor insists on joining her.
Season 6,The Krotons: Episode Three,S06E21,11 Jan. 1969,6.4,268,Jamie is held prisoner by the Krotons who intend to recapture the Doctor and Zoe for their mental energy.
Season 6,The Krotons: Episode Four,S06E22,18 Jan. 1969,6.4,271,Selris succeeds in drawing the Krotons out of the Dynatrope but Eelek agrees to hand the Doctor and Zoe over to them in return for their leaving the planet.
Season 6,The Seeds of Death: Episode One,S06E23,25 Jan. 1969,7.4,347,"21st century Earth is entirely dependent on the T-Mat transport system but the control centre on the moon has stopped functioning. Meanwhile, the Doctor, Jamie and Zoe meet the one man who can solve the crisis."
Season 6,The Seeds of Death: Episode Two,S06E24,1 Feb. 1969,7.2,314,"Eldred agrees to supply a rocket for travel to the moon and the Doctor, Jamie and Zoe volunteer to crew it."
Season 6,The Seeds of Death: Episode Three,S06E25,8 Feb. 1969,7.2,314,"The Doctor, Jamie and Zoe make it to the moon and join forces with Phipps but the Ice Warriors have gained control of T-mat."
Season 6,The Seeds of Death: Episode Four,S06E26,15 Feb. 1969,7.3,311,The Ice Warriors' seed pods beginning materialising all over the globe while Slaar decides to kill the Doctor by T-matting him into space.
Season 6,The Seeds of Death: Episode Five,S06E27,22 Feb. 1969,7.3,308,The Doctor and his allies manage to return to Earth via T-mat only to find the Ice Warrior has attacked the weather control station.
Season 6,The Seeds of Death: Episode Six,S06E28,1 Mar. 1969,7.4,310,The Doctor manages to create a rain storm to destroy the Martian fungus before trying to find a way to stop the Ice Warriors' invasion fleet.
Season 6,The Space Pirates: Episode 1,S06E29,8 Mar. 1969,5.2,172,"Space beacons are being destroyed by pirates, who are salvaging the argonite metal. When the Doctor, Jamie and Zoe arrive on one of the beacons, they are mistaken for pirates."
Season 6,The Space Pirates: Episode Two,S06E30,15 Mar. 1969,5.7,212,"With the Doctor, Jamie and Zoe trapped on a beacon segment, Hermack becomes suspicious of the unruly prospector Milo Clancey."
Season 6,The Space Pirates: Episode 3,S06E31,22 Mar. 1969,5.1,163,"The Doctor, Jamie and Zoe flee from the Space Corps with Clancey, who decides to seek refuge on Ta."
Season 6,The Space Pirates: Episode 4,S06E32,29 Mar. 1969,5.1,161,"The Doctor, Jamie and Zoe are held prisoner by the space pirates while Caven comes up with a plan to throw suspicion onto Clancey."
Season 6,The Space Pirates: Episode 5,S06E33,5 Apr. 1969,5.0,162,"Madeleine is revealed to be working with Caven, who comes up with a way to kill the Doctor and his friends whilst framing them for the piracy."
Season 6,The Space Pirates: Episode 6,S06E34,12 Apr. 1969,4.9,162,"With Clancey and Issigri trapped aboard the LIZ, the Doctor, Jamie and Zoe try to convince Madeleine to help them before Caven destroys Ta."
Season 6,The War Games: Episode One,S06E35,19 Apr. 1969,8.7,420,"The Doctor, Jamie and Zoe realise they have arrived in the trenches of the First World War, where the sinister General Smythe accuses them of espionage."
Season 6,The War Games: Episode Two,S06E36,26 Apr. 1969,8.6,363,The Doctor and Zoe manage to escape from Ransom and attempt to rescue Jamie from the military prison.
Season 6,The War Games: Episode Three,S06E37,3 May 1969,8.6,364,The Doctor and his friends realise the area is divided into different time zones and decide to return to the château to obtain a map from Smythe.
Season 6,The War Games: Episode Four,S06E38,10 May 1969,8.4,354,The Doctor and Zoe are transported to the control centre of the war games while Jamie and Lady Jennifer fall foul of American Civil War soldiers.
Season 6,The War Games: Episode Five,S06E39,17 May 1969,8.4,356,The Doctor attempts to rescue Zoe and Carstairs while Jamie and Lady Jennifer try to convince the resistance of the true nature of Von Weich and the others.
Season 6,The War Games: Episode Six,S06E40,24 May 1969,8.3,344,"The scientist examines the captured resistance fighters and realises Jamie is a new arrival on the planet while the Doctor, Zoe and Carstairs try to rescue their friends."
Season 6,The War Games: Episode Seven,S06E41,31 May 1969,8.3,346,"The Doctor, Jamie and Carstairs manage to return to the 1917 zone only to be captured by Smythe, who orders the Doctor executed."
Season 6,The War Games: Episode Eight,S06E42,7 Jun. 1969,8.5,349,The Doctor and the processing machine have been taken by the Aliens but the resistance are making plans to attack the control centre.
Season 6,The War Games: Episode Nine,S06E43,14 Jun. 1969,8.9,369,"To prove his loyalty to the Aliens, the Doctor is ordered to reprocess his friends while the Security Chief finally uncovers evidence of the War Chief's treachery."
Season 6,The War Games: Episode Ten,S06E44,21 Jun. 1969,9.3,433,The TARDIS is drawn to the planet of the Time Lords where both the Doctor and the War Lord are placed on trial.
Season 7,Spearhead From Space Episode 1,S07E01,3 Jan. 1970,8.2,650,"As the newly regenerated Doctor arrives on Earth, so does the Nestene."
Season 7,Spearhead From Space Episode 2,S07E02,10 Jan. 1970,8.2,544,"UNIT's attempts to locate the meteorites are hampered by the mysterious plastic Autons, being constructed by Channing at a nearby factory, while the Doctor makes another attempt to escape from the hospital."
Season 7,Spearhead From Space Episode 3,S07E03,17 Jan. 1970,8.1,527,"Ransome manages to escape from the plastics factory and alert UNIT, prompting the Doctor and the Brigadier to start an investigation."
Season 7,Spearhead From Space Episode 4,S07E04,24 Jan. 1970,8.3,536,"With UNIT's investigation being blocked by the Replica of Scobie, the Doctor and Liz visit Madame Tussaud's to try and find out more as Channing prepares to activate the Autons."
Season 7,Doctor Who And The Silurians Episode 1,S07E05,31 Jan. 1970,7.8,453,"The Doctor and Liz are summoned to the Wenley Moor Research Centre by the Brigadier, after several staff members suffer nervous breakdowns."
Season 7,Doctor Who And The Silurians Episode 2,S07E06,7 Feb. 1970,7.8,395,"The Doctor attempts to convince people there are monsters in the caves, prompting Major Baker to start shooting at a reptile man."
Season 7,Doctor Who And The Silurians Episode 3,S07E07,14 Feb. 1970,7.8,394,The Silurians contact Quinn for help in retrieving their fellow while the Doctor and the Brigadier organise a search of the moors.
Season 7,Doctor Who And The Silurians Episode 4,S07E08,21 Feb. 1970,7.9,385,"With Quinn dead, the Brigadier decides to take an armed party into the caves, prompting the Doctor to contact the Silurians himself."
Season 7,Doctor Who And The Silurians Episode 5,S07E09,28 Feb. 1970,8.0,378,"Worried about the Old Silurian's growing friendship with the Doctor, the Young Silurian has the scientist infect Baker with a virus and then release him."
Season 7,Doctor Who And The Silurians Episode 6,S07E10,7 Mar. 1970,8.0,386,"While the Doctor and Liz try to find a cure to the virus spread by Baker, the Young Silurian kills the Old Silurian and takes control of his people."
Season 7,Doctor Who And The Silurians Episode 7,S07E11,14 Mar. 1970,8.2,389,"While Liz distributes the cure to the virus, the Doctor discovers the Silurians now plan to wipe out humanity by destroying the Van Allen Belt."
Season 7,The Ambassadors Of Death Episode 1,S07E12,21 Mar. 1970,7.6,365,"While the Brigadier investigates a loss of contact with Mars Probe 7, the Doctor realises signals coming from the probe are of extra-terrestrial origin."
Season 7,The Ambassadors Of Death Episode 2,S07E13,28 Mar. 1970,7.5,320,UNIT retrieve the returned Recovery 7 but then Carrington hijacks it while the Doctor and Liz try to decode the signal he sent.
Season 7,The Ambassadors Of Death Episode 3,S07E14,4 Apr. 1970,7.5,316,"Carrington is holding the astronauts at a secret location but when he takes the Doctor, Liz and the Brigadier there they find they have been kidnapped."
Season 7,The Ambassadors Of Death Episode 4,S07E15,11 Apr. 1970,7.5,313,Liz has been captured by Reegan's men and the Doctor begins to suspect Taltalian is more involved than he appeared.
Season 7,The Ambassadors Of Death Episode 5,S07E16,18 Apr. 1970,7.4,310,The Doctor decides to take Recovery 7 back into space to search for the missing astronauts but Reegan sabotages the launch.
Season 7,The Ambassadors Of Death Episode 6,S07E17,25 Apr. 1970,7.5,308,"The Doctor speaks with the alien captain and learns the astronauts sent to Earth were ambassadors.However, before he can alert the authorities he is kidnapped by Reegan."
Season 7,The Ambassadors Of Death Episode 7,S07E18,2 May 1970,7.5,317,Carrington is planning to expose the aliens on live television and call for an interplanetary war and the Brigadier must rescue the Doctor and Liz in time to stop him.
Season 7,Inferno Episode 1,S07E19,9 May 1970,8.3,496,The Doctor and UNIT investigate strange happenings at a top secret government drilling project headed by the pompous Professor Stahlman.
Season 7,Inferno Episode 2,S07E20,16 May 1970,8.2,419,The Doctor begins to suspect that penetrating the earth's crust will create more Primords but Stahlman sabotages the computer to stop him proving it.
Season 7,Inferno Episode 3,S07E21,23 May 1970,8.6,427,The Doctor finds himself in a parallel universe where Britain is a dictatorship and the Inferno Project is a slave labour camp policed by his friends' counterparts.
Season 7,Inferno Episode 4,S07E22,30 May 1970,8.4,413,The Doctor attempts to convince the alternate Inferno staff that penetrating the earth's crust will cause a disaster but instead is imprisoned with an infected Bromley.
Season 7,Inferno Episode 5,S07E23,6 Jun. 1970,8.4,415,"The earth's crust has been penetrated and, while the Doctor and Greg try to contain the disaster, the Doctor begins to realise the planet has passed the point of no return."
Season 7,Inferno Episode 6,S07E24,13 Jun. 1970,8.7,428,"With the parallel earth doomed, the Doctor asks his friends' counterparts to help him return to his own world but the Brigade Leader only sees the TARDIS as a means of escape."
Season 7,Inferno Episode 7,S07E25,20 Jun. 1970,8.5,420,The Doctor is back in his own universe and must stop Stahlman before his earth suffers the same fate as the parallel one.
Season 8,Terror of the Autons: Episode One,S08E01,2 Jan. 1971,7.7,445,"When a Nestene Energy Unit is stolen and a radio telescope sabotaged, the Doctor is contacted by a Time Lord who tells him his old rival the Master is responsible."
Season 8,Terror of the Autons: Episode Two,S08E02,9 Jan. 1971,7.8,382,"Attempting to find out where Jo encountered the Master, the Doctor heads to the circus where he falls foul of Rossini."
Season 8,Terror of the Autons: Episode Three,S08E03,16 Jan. 1971,7.8,384,The Doctor and the Brigadier head to Farrel's factory but the Master and the Autons have already left and are distributing plastic daffodils around the country.
Season 8,Terror of the Autons: Episode Four,S08E04,23 Jan. 1971,7.8,390,"The Doctor discovers the plastic daffodils are designed to fire a spray that asphyxiates people, causing havoc prior to the Nestene's arrival, but before he can alert anyone he and Jo are captured by the Master."
Season 8,The Mind of Evil: Episode One,S08E05,30 Jan. 1971,7.6,351,"The Doctor and Jo head to Stangmoor Prison to investigate the Keller Machine, which drains the evil impulses from prisoners' minds, while UNIT are handling security at the first world peace conference."
Season 8,The Mind of Evil: Episode Two,S08E06,6 Feb. 1971,7.6,320,The Doctor is recalled by UNIT to help investigate Cheng-Tiek's murder but is unaware that Chin-Lee is under the control of the Master.
Season 8,The Mind of Evil: Episode Three,S08E07,13 Feb. 1971,7.6,318,"Realising Chin-Lee has been using the power of the Keller Machine to carry out assassinations, the Doctor heads back to Stangmoor, only to find the Master has teamed up with Mailer to stage another riot."
Season 8,The Mind of Evil: Episode Four,S08E08,20 Feb. 1971,7.6,310,"With the Doctor and Jo being held prisoner, the Master convinces Mailer to help him steal the Thunderbolt."
Season 8,The Mind of Evil: Episode Five,S08E09,27 Feb. 1971,7.6,313,The Doctor is forced to help the Master control the mind parasite while Yates finds out where the Thunderbolt has been taken only to be captured by the Master's men.
Season 8,The Mind of Evil: Episode Six,S08E10,6 Mar. 1971,7.7,317,The Brigadier has recaptured Stangmoor but the Master still has control of the Thunderbolt and the Doctor must find a way to stop him and destroy the Keller Machine.
Season 8,The Claws of Axos: Episode One,S08E11,13 Mar. 1971,7.2,385,"When a mysterious object lands near the Nuton power complex, UNIT investigate and encounter the Axons, a group of aliens who offer the mineral axonite, which can duplicate matter, as a gift."
Season 8,The Claws of Axos: Episode Two,S08E12,20 Mar. 1971,7.2,352,The Doctor and Winser begin to analyse axonite while Chinn plots to secure its use exclusively for Britain.
Season 8,The Claws of Axos: Episode Three,S08E13,27 Mar. 1971,7.2,344,The Doctor and Jo are being held prisoner by Axos while Chinn is forced to organise the worldwide distribution of axonite and the Master returns to the power complex to try and steal the TARDIS.
Season 8,The Claws of Axos: Episode Four,S08E14,3 Apr. 1971,7.3,351,"The Doctor and Jo escape from Axos but then the Doctor offers the Master a deal:if he helps him repair the TARDIS, they can flee Earth together."
Season 8,Colony in Space: Episode One,S08E15,10 Apr. 1971,7.0,321,"The Time Lords takes control of the TARDIS and the Doctor and Jo arrive on a Earth Colony in the 25th Century, where a ruthless mining company are using a dinosaur-like creature to force the colonists to leave the planet. Where the Doctor and Jo learn that The Master is on the planet and is in search of a doomsday weapon that is hidden somewhere on the planet."
Season 8,Colony in Space: Episode Two,S08E16,17 Apr. 1971,7.0,292,"The Doctor discovers an Interplanetary Mining Corporation ship has landed on the planet in order to mine its duralinium, while Norton begins causing trouble at the colony."
Season 8,Colony in Space: Episode Three,S08E17,24 Apr. 1971,6.9,291,The Doctor makes it back to the colony and warns Ashe what Dent is up to but when Jo and Winton try to find proof they are captured.
Season 8,Colony in Space: Episode Four,S08E18,1 May 1971,7.0,290,The Doctor descends into the Primitive city to try and find Jo while the colonists receive a visit from the Adjudicator.
Season 8,Colony in Space: Episode Five,S08E19,8 May 1971,6.9,289,The Master offers to help the colonists in exchange for information on the Primitive city and forces the Doctor to act as a guide by taking Jo hostage.
Season 8,Colony in Space: Episode Six,S08E20,15 May 1971,7.1,295,"The Doctor and the Master are taken into the Primitive city, where the Master hopes to find the doomsday weapon, while Dent forces the colonists to leave the planet even though their ship is likely to explode."
Season 8,The Dæmons: Episode One,S08E21,22 May 1971,8.0,406,The Master raises the Devil. The Doctor becomes a wizard.
Season 8,The Dæmons: Episode Two,S08E22,29 May 1971,7.8,347,"With the Doctor frozen by the energy release from the barrow, Jo calls Yates and Benton for help, but when the Brigadier tries to join them he finds the village surrounded by a heat barrier."
Season 8,The Dæmons: Episode Three,S08E23,5 Jun. 1971,7.8,339,"The Doctor explains to his friends that the Master is trying to gain the power of the last of the Daemons, a race who influenced Earth's development, while the Master brings the rest of the village under his control."
Season 8,The Dæmons: Episode Four,S08E24,12 Jun. 1971,7.9,339,The Master orders Bert to set a trap for the Doctor at the village while a concussed Jo makes for the cavern.
Season 8,The Dæmons: Episode Five,S08E25,19 Jun. 1971,7.8,345,The Master decides to sacrifice Jo to Azal and when the Doctor and his friends try to intervene they come under attack from Bok.
Season 9,Day of the Daleks: Episode One,S09E01,1 Jan. 1972,7.8,355,"When someone tries to assassinate diplomat Sir Reginald Styles, UNIT investigate the possibility his attacker came from the future."
Season 9,Day of the Daleks: Episode Two,S09E02,8 Jan. 1972,7.8,317,Jo uses the guerrillas' time machine to travel to the 22nd century where the Controller tricks her into telling the Daleks where she's come from.
Season 9,Day of the Daleks: Episode Three,S09E03,15 Jan. 1972,7.8,319,The Doctor forces the guerrillas to take him to the 22nd century where he is soon captured by the Controller.
Season 9,Day of the Daleks: Episode Four,S09E04,22 Jan. 1972,8.0,322,The guerrillas infiltrate the Daleks' base to rescue the Doctor and Jo and ask them to return to their own time and alter history before the 20th century is plunged into a Third World War.
Season 9,The Curse of Peladon: Episode One,S09E05,29 Jan. 1972,7.6,334,"The Doctor and Jo arrive on the medieval planet Peladon, where the Doctor is mistaken for the Earth Delegate of the Galactic Federation and Jo is mistaken for a princess. Where the Doctor uncovers a conspiracy, as he exposes the evil scheme of the high-priest Hepesh who bids to prevent King Peladon from joining the galactic Federation."
Season 9,The Curse of Peladon: Episode Two,S09E06,5 Feb. 1972,7.6,303,The Doctor is convinced the Ice Warriors are trying to sabotage the conference but his attempts to prove it see him accused of sacrilege.
Season 9,The Curse of Peladon: Episode Three,S09E07,12 Feb. 1972,7.6,304,The Doctor is sentenced to fight Grun to the death and his attempt to escape leads to an encounter with Aggedor.
Season 9,The Curse of Peladon: Episode Four,S09E08,19 Feb. 1972,7.7,308,Hepesh's plan has been exposed but he is still determined to prevent Peladon joining the Galactic Federation by leading a rebellion against the King.
Season 9,The Sea Devils: Episode One,S09E09,26 Feb. 1972,7.9,389,The Doctor and Jo visit the Master at his island prison where the Doctor becomes curious about a number of ships sinking in the area.
Season 9,The Sea Devils: Episode Two,S09E10,4 Mar. 1972,7.8,345,The Doctor and Jo are trapped on the fort by a Sea Devil while the Master convinces Trenchard to help him steal some electronic components.
Season 9,The Sea Devils: Episode Three,S09E11,11 Mar. 1972,7.7,343,The Doctor is held prisoner by Trenchard while the Master attempts to contact the Sea Devils.
Season 9,The Sea Devils: Episode Four,S09E12,18 Mar. 1972,7.7,335,"The Sea Devils attack the island prison and rescue the Master, prompting the Doctor to venture underwater to try and contact them."
Season 9,The Sea Devils: Episode Five,S09E13,25 Mar. 1972,7.8,335,"The Doctor is taken to the Sea Devils' underwater colony where he tries to make peace with the creatures, only for the navy to attack the base."
Season 9,The Sea Devils: Episode Six,S09E14,1 Apr. 1972,7.8,339,The Sea Devils take over the naval base and the Doctor is forced to help the Master find a way to revive their colony.
Season 9,The Mutants: Episode One,S09E15,8 Apr. 1972,6.6,285,"The Doctor and Jo arrive on the planet Solos, on an assignment by the Time Lords. The Doctor and Jo learn that the native Solonians are mutating into ant-like mutant creatures and they uncover a conspiracy, where the evil Marshal of the Earth Empire plots to rule Solos for himself and plans to convert the Solos atmosphere, since the planet's atmosphere is poisonous, so the planet can be colonized by the humans He plans to wipe out all the mutated Solonians, who are evolving into an advanced super race."
Season 9,The Mutants: Episode Two,S09E16,15 Apr. 1972,6.6,252,Ky transports himself and Jo down to Solos and the Marshal only agrees to help her if the Doctor assists Professor Jaeger in altering Solos' atmosphere.
Season 9,The Mutants: Episode Three,S09E17,22 Apr. 1972,6.6,251,The Doctor and Varan travel down to Solos to search for Jo and Ky but the Marshal orders his men to pursue them.
Season 9,The Mutants: Episode Four,S09E18,29 Apr. 1972,6.6,251,"The Doctor and his friends are led to safety by Professor Sondergaard, who tries to help the Doctor translate the tablets."
Season 9,The Mutants: Episode Five,S09E19,6 May 1972,6.5,251,The Marshal's premature use of Jaeger's experiment is threatening to destroy Solos' atmosphere and the Doctor returns to Skybase to try and correct the damage.
Season 9,The Mutants: Episode Six,S09E20,13 May 1972,6.5,253,The Doctor is forced to help the Marshal cover up his actions with the Investigator but Jo and the others attempt to escape to expose him.
Season 9,The Time Monster: Episode One,S09E21,20 May 1972,6.7,290,"UNIT are invited to observe a demonstration of the new TOMTIT machine, unaware its creator, Professor Thascales, is actually the Master."
Season 9,The Time Monster: Episode Two,S09E22,27 May 1972,6.7,264,"The Doctor realises the Master is trying to harness the power of Kronos, last of the Chronovores, but is unaware Percival is harbouring him at the institute."
Season 9,The Time Monster: Episode Three,S09E23,3 Jun. 1972,6.5,260,The Master enlists the help of Krasis to control Kronos while Yates tries to bring the TARDIS to the institute only to come under attack from dangers from the past.
Season 9,The Time Monster: Episode Four,S09E24,10 Jun. 1972,6.9,256,The Master prepares to travel back to Atlantis but the Doctor links his TARDIS to the Master's to try and stop him.
Season 9,The Time Monster: Episode Five,S09E25,17 Jun. 1972,6.7,264,"Both TARDISes reach Atlantis, where the Doctor befriends King Dalios while the Master enlists the help of Queen Galleia to try and obtain the crystal of Kronos."
Season 9,The Time Monster: Episode Six,S09E26,24 Jun. 1972,6.8,268,The Doctor enters the labyrinth to try and protect Jo from the minotaur but the Master has seized control of Atlantis and prepares to summon Kronos again.
Season 10,The Three Doctors: Episode One,S10E01,30 Dec. 1972,8.2,549,The 10th Anniversary Serial has three incarnations of the Doctor meeting up to face the evil Omega in a universe of antimatter.
Season 10,The Three Doctors: Episode Two,S10E02,6 Jan. 1973,8.2,470,The third Doctor and Jo find themselves on an artificial world inside the black hole while the second Doctor tries to find a way to control the organism.
Season 10,The Three Doctors: Episode Three,S10E03,13 Jan. 1973,8.2,470,The Time Lord Omega reveals himself to the third Doctor along with plans for vengeance against his own kind.
Season 10,The Three Doctors: Episode Four,S10E04,20 Jan. 1973,8.3,470,"Omega reveals the purpose behind bringing the Doctor to his antimatter world, but the Doctor(s) discover a startling fact about Omega that he didn't know himself and eventually strike a bargain."
Season 10,Carnival of Monsters: Episode One,S10E05,27 Jan. 1973,7.8,422,The Doctor attempts to test his new dematerialisation circuit by taking Jo to Metebelis Three but instead the TARDIS arrives in the hold of a 1920s cargo ship.
Season 10,Carnival of Monsters: Episode Two,S10E06,3 Feb. 1973,7.8,360,"The Doctor and Jo attempt to find a way out of the Scope but, when Vorg attempts to entertain the Minorans, the crew of the Bernice suddenly become a lot more dangerous."
Season 10,Carnival of Monsters: Episode Three,S10E07,10 Feb. 1973,7.8,364,The Doctor and Jo return to the Bernice to try and aid their escape but find themselves pursued by the Drashigs.
Season 10,Carnival of Monsters: Episode Four,S10E08,17 Feb. 1973,7.8,370,The Doctor escapes from the Scope and joins forces with Vorg to try and save its inhabitants but Kalik is still determined to use the Drashigs to start a rebellion.
Season 10,Frontier in Space: Episode One,S10E09,24 Feb. 1973,7.6,333,"The Doctor and Jo discover The Master and the Ogrons are the masterminds behind the Galactic war between the Earth Federation and the Reptillian Draconian Empire and the Master has framed The Doctor and Jo as spies working for the Draconians. Only to discover The Master is also working with the Doctor's greatest enemies, The Daleks, who are also behind the galactic war."
Season 10,Frontier in Space: Episode Two,S10E10,3 Mar. 1973,7.5,299,"The Doctor and Jo are taken to Earth, where both humans and Draconians believe them to be a spy for the other side."
Season 10,Frontier in Space: Episode Three,S10E11,10 Mar. 1973,7.7,294,The Doctor is sentenced to life imprisonment at a lunar penal colony while Jo encounters an old enemy.
Season 10,Frontier in Space: Episode Four,S10E12,17 Mar. 1973,7.6,294,"The Master rescues the Doctor from the lunar penal colony, aiming to take him and Jo to the Ogrons' planet, and the Doctor's attempt to escape leaves him stranded in space."
Season 10,Frontier in Space: Episode Five,S10E13,24 Mar. 1973,7.6,293,"The Doctor, Jo and the Master are taken to Draconia, where the Doctor tries to convince the Draconians of the truth. But then the Ogrons attack."
Season 10,Frontier in Space: Episode Six,S10E14,31 Mar. 1973,7.7,300,"The Doctor, Williams and the Draconian Prince head to the Ogrons' planet to find evidence of the Master's actions but the Master tricks Jo into leading them into a trap."
Season 10,Planet of the Daleks: Episode One,S10E15,7 Apr. 1973,7.5,338,"The TARDIS lands on the jungle planet Spiridon, where the Doctor has fallen into a coma. Before collapsing he has requested the Time Lords to pilot the TARDIS, so he and Jo can follow the Daleks to their base. Jo learns the Daleks' base has been located on Spiridon where they are attempting to discover the secrets of Invisibilty and create a bacterial virus in their goal of universal conquest. When the Doctor recovers, he and Jo are joined by a task-force of Thals and a native Spiridon named Wester. They not only set out to stop he Daleks' evil plot, they also ..."
Season 10,Planet of the Daleks: Episode Two,S10E16,14 Apr. 1973,7.5,306,"The Doctor is captured by the Daleks, while Jo is rescued by a friendly Spridon named Wester."
Season 10,Planet of the Daleks: Episode Three,S10E17,21 Apr. 1973,7.4,303,The Doctor and Codal escape from their cell and meet up with the Thal commandos who are trying to get into the Dalek base.
Season 10,Planet of the Daleks: Episode Four,S10E18,28 Apr. 1973,7.4,303,"The Doctor and his friends escape from the Dalek base, prompting the Daleks to devise a plan to wipe them out."
Season 10,Planet of the Daleks: Episode Five,S10E19,5 May 1973,7.4,295,The Doctor and his friends ambush two Daleks as part of their planet to get back into the city but the Daleks are on the verge of unleashing their virus.
Season 10,Planet of the Daleks: Episode Six,S10E20,12 May 1973,7.6,304,The Doctor and his friends prepare to refreeze the Dalek army but the Dalek Supreme has arrived on the planet determined to destroy them all.
Season 10,The Green Death: Episode One,S10E21,19 May 1973,8.1,420,"While the Doctor plans a holiday to Metebelis Three, Jo and the Brigadier are intrigued by a mysterious death at a coal mine in Llanfairfach, which is being blamed on local company Global Chemicals."
Season 10,The Green Death: Episode Two,S10E22,26 May 1973,8.0,361,The Doctor and the Brigadier attempt to rescue Jo and Bert from the mine but Global Chemicals prove distinctly uncooperative.
Season 10,The Green Death: Episode Three,S10E23,2 Jun. 1973,8.1,357,The Doctor and Jo manage to escape from the mine with a maggot egg but Stevens is determined to stop them analysing it.
Season 10,The Green Death: Episode Four,S10E24,9 Jun. 1973,8.1,354,The Brigadier calls in a full UNIT force to deal with the giant maggots while the Doctor infiltrates Global Chemicals to find out what is really going on.
