artistName,trackName,Minutes Played
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,willow,3.58
Taylor Swift,You Belong With Me,0.56
Taylor Swift,the 1,3.5
Taylor Swift,Red,3.72
Taylor Swift,Enchanted,5.67
Taylor Swift,Red,3.72
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),3.22
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,tolerate it,4.09
Taylor Swift,cardigan,3.99
Taylor Swift,this is me trying,3.25
Taylor Swift,willow,3.58
Taylor Swift,evermore (feat. Bon Iver),5.07
Taylor Swift,the 1,1.84
Taylor Swift,You Belong With Me,3.85
Taylor Swift,Enchanted,5.87
Taylor Swift,Red,3.72
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),3.22
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,tolerate it,4.09
Taylor Swift,cardigan,3.99
Taylor Swift,this is me trying,3.25
Taylor Swift,willow,3.58
Taylor Swift,evermore (feat. Bon Iver),3.88
Taylor Swift,Enchanted,5.87
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),0.03
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,tolerate it,0.02
Taylor Swift,You Belong With Me,0.01
Taylor Swift,cardigan,0.01
Taylor Swift,the 1,0.16
Taylor Swift,evermore (feat. Bon Iver),0.02
Taylor Swift,this is me trying,0.06
Taylor Swift,willow,3.58
Taylor Swift,Red,3.06
Justin Bieber,Anyone,0.01
Justin Bieber,Anyone,0.0
Justin Bieber,Anyone,0.16
Justin Bieber,Anyone,1.62
Justin Bieber,Mistletoe,1.44
Justin Bieber,Lonely (with benny blanco),0.73
Ariana Grande,Stuck with U (with Justin Bieber),1.34
Mandy Moore,Cry,0.65
Mandy Moore,Cry,0.0
Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",2.62
Taylor Swift,Picture To Burn,0.17
Taylor Swift,A Place in this World,0.14
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,1.75
Taylor Swift,Cold As You,0.27
Taylor Swift,A Place in this World,0.05
Taylor Swift,The Outside,0.84
Taylor Swift,Tied Together with a Smile,1.23
Taylor Swift,Stay Beautiful,0.41
Taylor Swift,Should've Said No,1.33
Taylor Swift,Mary's Song (Oh My My My),0.57
Taylor Swift,Our Song,1.76
Taylor Swift,I'm Only Me When I'm With You,0.64
Taylor Swift,Invisible,1.29
Taylor Swift,A Perfectly Good Heart,1.26
Taylor Swift,Tim McGraw,3.63
Ed Sheeran,Shape of You,0.12
Ed Sheeran,Shape of You,0.01
Ed Sheeran,Shape of You,0.47
Ed Sheeran,Dive,0.0
Ed Sheeran,Shape of You,3.37
Ed Sheeran,Galway Girl,0.0
Ed Sheeran,Perfect,0.09
Ed Sheeran,Perfect,0.54
Ed Sheeran,Castle on the Hill,0.03
Ed Sheeran,Castle on the Hill,0.1
Ed Sheeran,Eraser,0.0
Ed Sheeran,Eraser,0.28
Ed Sheeran,Hearts Don't Break Around Here,0.79
Ed Sheeran,Castle on the Hill,0.0
Ed Sheeran,Dive,1.73
Ed Sheeran,Dive,0.09
Taylor Swift,Invisible,0.13
Taylor Swift,You Belong With Me,3.85
Taylor Swift,Red,3.72
Taylor Swift,Enchanted,5.87
Taylor Swift,evermore (feat. Bon Iver),5.07
Taylor Swift,willow,3.58
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,You Belong With Me,3.85
Taylor Swift,Red,3.72
Taylor Swift,Enchanted,5.87
Taylor Swift,the 1,0.11
Taylor Swift,evermore (feat. Bon Iver),1.26
Taylor Swift,Enchanted,5.87
Taylor Swift,Red,3.72
Taylor Swift,willow,3.58
Taylor Swift,You Belong With Me,3.85
Taylor Swift,exile (feat. Bon Iver),4.76
Taylor Swift,this is me trying,3.25
Taylor Swift,evermore (feat. Bon Iver),5.07
Taylor Swift,cardigan,3.99
Taylor Swift,tolerate it,4.09
Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),0.02
Taylor Swift,Fearless,0.94
Taylor Swift,the 1,0.02
Taylor Swift,Love Story,3.92
Taylor Swift,Tim McGraw,0.47
Taylor Swift,Love Story,0.01
Taylor Swift,Tim McGraw,3.87
Taylor Swift,State Of Grace,1.47
Taylor Swift,Style,3.85
Taylor Swift,Dear John,0.99
Taylor Swift,Blank Space,3.86
Taylor Swift,peace,0.07
Taylor Swift,Enchanted,5.87
Taylor Swift,Red,3.72
Taylor Swift,willow,3.58
Taylor Swift,exile (feat. Bon Iver),4.76
